9.50E-08,4
1.90E-07,1
2.85E-07,87
3.80E-07,54
4.75E-07,32
5.70E-07,6352
6.65E-07,747
7.60E-07,700
8.55E-07,625
9.50E-07,605
1.05E-06,579
1.14E-06,574
1.24E-06,580
1.33E-06,549
1.43E-06,516
1.52E-06,477
1.62E-06,473
1.71E-06,417
1.81E-06,465
1.90E-06,376
2.00E-06,394
2.09E-06,393
2.19E-06,374
2.28E-06,348
2.38E-06,316
2.47E-06,314
2.57E-06,323
2.66E-06,297
2.76E-06,288
2.85E-06,274
2.95E-06,245
3.04E-06,235
3.14E-06,221
3.23E-06,216
3.33E-06,192
3.42E-06,178
3.52E-06,208
3.61E-06,203
3.71E-06,185
3.80E-06,193
3.90E-06,175
3.99E-06,182
4.09E-06,143
4.18E-06,145
4.28E-06,133
4.37E-06,151
4.47E-06,125
4.56E-06,125
4.66E-06,148
4.75E-06,123
4.85E-06,111
4.94E-06,106
5.04E-06,106
5.13E-06,99
5.23E-06,93
5.32E-06,77
5.42E-06,67
5.51E-06,86
5.61E-06,78
5.70E-06,75
5.80E-06,78
5.89E-06,76
5.99E-06,81
6.08E-06,70
6.18E-06,76
6.27E-06,50
6.37E-06,51
6.46E-06,53
6.56E-06,50
6.65E-06,75
6.75E-06,53
6.84E-06,49
6.94E-06,58
7.03E-06,40
7.13E-06,38
7.22E-06,40
7.32E-06,41
7.41E-06,39
7.51E-06,36
7.60E-06,32
7.70E-06,43
7.79E-06,33
7.89E-06,48
7.98E-06,27
8.08E-06,37
8.17E-06,33
8.27E-06,19
8.36E-06,26
8.46E-06,26
8.55E-06,23
8.65E-06,27
8.74E-06,28
8.84E-06,28
8.93E-06,28
9.03E-06,25
9.12E-06,28
9.22E-06,25
9.31E-06,24
9.41E-06,17
9.50E-06,19
9.60E-06,21
9.69E-06,20
9.79E-06,23
9.88E-06,15
9.98E-06,20
0.00001007,26
0.000010165,21
0.00001026,18
0.000010355,19
0.00001045,23
0.000010545,17
0.00001064,19
0.000010735,24
0.00001083,18
0.000010925,21
0.00001102,22
0.000011115,17
0.00001121,10
0.000011305,18
0.0000114,17
0.000011495,6
0.00001159,10
0.000011685,11
0.00001178,14
0.000011875,20
0.00001197,7
0.000012065,10
0.00001216,6
0.000012255,16
0.00001235,9
0.000012445,15
0.00001254,7
0.000012635,14
0.00001273,11
0.000012825,16
0.00001292,19
0.000013015,7
0.00001311,5
0.000013205,10
0.0000133,11
0.000013395,13
0.00001349,12
0.000013585,14
0.00001368,10
0.000013775,11
0.00001387,9
0.000013965,15
0.00001406,15
0.000014155,10
0.00001425,8
0.000014345,7
0.00001444,8
0.000014535,11
0.00001463,9
0.000014725,10
0.00001482,7
0.000014915,8
0.00001501,10
0.000015105,10
0.0000152,10
0.000015295,16
0.00001539,11
0.000015485,8
0.00001558,5
0.000015675,11
0.00001577,3
0.000015865,6
0.00001596,6
0.000016055,12
0.00001615,12
0.000016245,14
0.00001634,12
0.000016435,7
0.00001653,14
0.000016625,9
0.00001672,7
0.000016815,11
0.00001691,4
0.000017005,9
0.0000171,8
0.000017195,8
0.00001729,6
0.000017385,10
0.00001748,8
0.000017575,8
0.00001767,8
0.000017765,9
0.00001786,8
0.000017955,13
0.00001805,16
0.000018145,17
0.00001824,13
0.000018335,16
0.00001843,13
0.000018525,12
0.00001862,18
0.000018715,14
0.00001881,13
0.000018905,10
0.000019,13
0.000019095,19
0.00001919,7
0.000019285,18
0.00001938,14
0.000019475,12
0.00001957,11
0.000019665,18
0.00001976,11
0.000019855,7
